Book,real_time,user_time,sys_time
buchanj-midwinter-00-t.txt,4.821,8.006,0.365
carman-farhorizons-00-t.txt,3.830,6.667,0.351
charlesworth-scene-00-t.txt,4.841,7.086,0.379
cheyneyp-darkbahama-00-t.txt,4.794,7.239,0.334
colby-champlain-00-t.txt,3.854,7.017,0.338
delamare-bumps-00-t.txt,3.724,6.281,0.395
delamare-lucy-00-t.txt,3.851,6.611,0.280
delamare-myfanwy-00-t.txt,3.991,6.760,0.453
delamare-penny-00-t.txt,3.751,6.517,0.389
pg4300.txt,5.787,9.784,0.363
buchanj-midwinter-00-t.txt,4.884,7.717,0.424
carman-farhorizons-00-t.txt,4.004,6.829,0.405
charlesworth-scene-00-t.txt,4.952,7.147,0.342
cheyneyp-darkbahama-00-t.txt,4.743,7.107,0.378
colby-champlain-00-t.txt,3.772,6.788,0.340
delamare-bumps-00-t.txt,3.827,6.788,0.301
delamare-lucy-00-t.txt,3.878,6.672,0.344
delamare-myfanwy-00-t.txt,3.896,6.773,0.394
delamare-penny-00-t.txt,3.833,6.505,0.360
pg4300.txt,5.838,9.367,0.375
buchanj-midwinter-00-t.txt,4.749,7.340,0.360
carman-farhorizons-00-t.txt,3.976,7.092,0.332
charlesworth-scene-00-t.txt,4.768,6.953,0.362
cheyneyp-darkbahama-00-t.txt,4.885,7.470,0.381
colby-champlain-00-t.txt,3.752,6.673,0.406
delamare-bumps-00-t.txt,3.890,6.855,0.350
delamare-lucy-00-t.txt,3.736,6.483,0.254
delamare-myfanwy-00-t.txt,3.950,6.970,0.379
delamare-penny-00-t.txt,3.896,6.648,0.332
pg4300.txt,5.888,10.063,0.410

