Book,real_time,user_time,sys_time
buchanj-midwinter-00-t.txt,4.969,8.453,0.365
carman-farhorizons-00-t.txt,3.929,6.905,0.333
charlesworth-scene-00-t.txt,5.041,7.732,0.364
cheyneyp-darkbahama-00-t.txt,4.996,7.824,0.336
colby-champlain-00-t.txt,4.782,7.019,0.339
delamare-bumps-00-t.txt,4.119,7.444,0.354
delamare-lucy-00-t.txt,4.230,7.607,0.354
delamare-myfanwy-00-t.txt,3.982,7.081,0.383
delamare-penny-00-t.txt,4.118,7.251,0.373
pg4300.txt,5.951,9.742,0.347
buchanj-midwinter-00-t.txt,5.136,8.343,0.316
carman-farhorizons-00-t.txt,3.824,6.833,0.348
charlesworth-scene-00-t.txt,4.983,7.516,0.328
cheyneyp-darkbahama-00-t.txt,5.069,8.049,0.359
colby-champlain-00-t.txt,4.145,7.403,0.338
delamare-bumps-00-t.txt,3.827,7.127,0.405
delamare-lucy-00-t.txt,3.927,7.001,0.306
delamare-myfanwy-00-t.txt,3.947,6.787,0.370
delamare-penny-00-t.txt,4.062,7.183,0.340
pg4300.txt,6.040,9.923,0.435
buchanj-midwinter-00-t.txt,5.104,8.446,0.314
carman-farhorizons-00-t.txt,4.084,7.405,0.325
charlesworth-scene-00-t.txt,5.047,7.648,0.403
cheyneyp-darkbahama-00-t.txt,5.110,8.363,0.388
colby-champlain-00-t.txt,5.041,7.705,0.373
delamare-bumps-00-t.txt,3.864,6.714,0.348
delamare-lucy-00-t.txt,4.138,7.318,0.357
delamare-myfanwy-00-t.txt,4.040,7.008,0.379
delamare-penny-00-t.txt,4.043,7.202,0.343
pg4300.txt,6.001,10.709,0.342

