Book,real_time,user_time,sys_time
buchanj-midwinter-00-t.txt,0.106,0.117,0.009
carman-farhorizons-00-t.txt,0.016,0.018,0.003
charlesworth-scene-00-t.txt,0.056,0.059,0.010
cheyneyp-darkbahama-00-t.txt,0.090,0.099,0.006
colby-champlain-00-t.txt,0.042,0.047,0.005
delamare-bumps-00-t.txt,0.016,0.020,0.001
delamare-lucy-00-t.txt,0.013,0.014,0.004
delamare-myfanwy-00-t.txt,0.015,0.019,0.001
delamare-penny-00-t.txt,0.010,0.011,0.004
pg4300.txt,0.526,0.412,0.010
buchanj-midwinter-00-t.txt,0.106,0.126,0.000
carman-farhorizons-00-t.txt,0.016,0.020,0.001
charlesworth-scene-00-t.txt,0.057,0.068,0.001
cheyneyp-darkbahama-00-t.txt,0.088,0.103,0.002
colby-champlain-00-t.txt,0.040,0.047,0.004
delamare-bumps-00-t.txt,0.015,0.016,0.004
delamare-lucy-00-t.txt,0.013,0.013,0.005
delamare-myfanwy-00-t.txt,0.015,0.019,0.000
delamare-penny-00-t.txt,0.010,0.012,0.003
pg4300.txt,0.358,0.404,0.015
buchanj-midwinter-00-t.txt,0.106,0.121,0.006
carman-farhorizons-00-t.txt,0.016,0.021,0.000
charlesworth-scene-00-t.txt,0.057,0.062,0.008
cheyneyp-darkbahama-00-t.txt,0.087,0.096,0.006
colby-champlain-00-t.txt,0.041,0.045,0.006
delamare-bumps-00-t.txt,0.015,0.018,0.001
delamare-lucy-00-t.txt,0.013,0.017,0.000
delamare-myfanwy-00-t.txt,0.014,0.018,0.001
delamare-penny-00-t.txt,0.010,0.013,0.001
pg4300.txt,0.357,0.394,0.023
