Book,real_time,user_time,sys_time
buchanj-midwinter-00-t.txt,4.859,7.462,0.447
carman-farhorizons-00-t.txt,3.855,6.435,0.418
charlesworth-scene-00-t.txt,3.880,6.822,0.400
cheyneyp-darkbahama-00-t.txt,4.900,7.248,0.391
colby-champlain-00-t.txt,3.871,6.880,0.346
delamare-bumps-00-t.txt,3.815,6.318,0.408
delamare-lucy-00-t.txt,3.849,6.586,0.394
delamare-myfanwy-00-t.txt,3.930,6.476,0.433
delamare-penny-00-t.txt,3.772,6.226,0.373
pg4300.txt,5.872,10.126,0.428
buchanj-midwinter-00-t.txt,4.905,7.568,0.373
carman-farhorizons-00-t.txt,3.871,6.349,0.391
charlesworth-scene-00-t.txt,4.823,6.924,0.457
cheyneyp-darkbahama-00-t.txt,4.894,7.129,0.415
colby-champlain-00-t.txt,3.869,6.820,0.385
delamare-bumps-00-t.txt,3.788,6.506,0.369
delamare-lucy-00-t.txt,3.863,6.384,0.402
delamare-myfanwy-00-t.txt,3.889,6.566,0.451
delamare-penny-00-t.txt,3.894,6.455,0.357
pg4300.txt,5.929,9.665,0.350
buchanj-midwinter-00-t.txt,4.834,7.427,0.350
carman-farhorizons-00-t.txt,3.897,6.698,0.354
charlesworth-scene-00-t.txt,4.892,7.223,0.481
cheyneyp-darkbahama-00-t.txt,4.859,7.396,0.455
colby-champlain-00-t.txt,3.858,6.743,0.367
delamare-bumps-00-t.txt,3.960,6.757,0.371
delamare-lucy-00-t.txt,3.950,6.766,0.348
delamare-myfanwy-00-t.txt,3.907,6.731,0.377
delamare-penny-00-t.txt,3.738,6.006,0.358
pg4300.txt,5.849,9.303,0.449
