Book,real_time,user_time,sys_time
buchanj-midwinter-00-t.txt,4.725,7.429,0.407
carman-farhorizons-00-t.txt,3.866,6.816,0.360
charlesworth-scene-00-t.txt,4.823,7.024,0.432
cheyneyp-darkbahama-00-t.txt,5.183,8.082,0.448
colby-champlain-00-t.txt,5.199,7.495,0.49
delamare-bumps-00-t.txt,4.213,7.223,0.401
delamare-lucy-00-t.txt,3.951,6.852,0.291
delamare-myfanwy-00-t.txt,3.919,6.471,0.295
delamare-penny-00-t.txt,3.760,6.381,0.295
pg4300.txt,5.936,9.598,0.425
buchanj-midwinter-00-t.txt,4.841,7.456,0.395
carman-farhorizons-00-t.txt,3.804,6.317,0.420
charlesworth-scene-00-t.txt,4.998,7.678,0.345
cheyneyp-darkbahama-00-t.txt,4.905,7.564,0.354
colby-champlain-00-t.txt,3.910,6.891,0.386
delamare-bumps-00-t.txt,3.897,6.749,0.344
delamare-lucy-00-t.txt,3.774,6.435,0.328
delamare-myfanwy-00-t.txt,3.889,6.566,0.451
delamare-penny-00-t.txt,3.894,6.455,0.357
pg4300.txt,5.929,9.665,0.350
buchanj-midwinter-00-t.txt,4.827,7.469,0.312
carman-farhorizons-00-t.txt,3.878,6.826,0.354
charlesworth-scene-00-t.txt,5.044,7.555,0.482
cheyneyp-darkbahama-00-t.txt,4.997,7.396,0.467
colby-champlain-00-t.txt,3.889,6.814,0.367
delamare-bumps-00-t.txt,3.813,6.306,0.396
delamare-lucy-00-t.txt,3.960,6.638,0.373
delamare-myfanwy-00-t.txt,4.028,6.669,0.391
delamare-penny-00-t.txt,3.925,6.596,0.354
pg4300.txt,5.867,9.344,0.414
